,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.16321381142098274,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
1,0.16699867197875165,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
2,0.1701195219123506,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
3,0.1661354581673307,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
4,0.16586985391766268,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
5,0.16626826029216468,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
6,0.16812749003984065,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
7,0.16308100929614874,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
8,0.1640106241699867,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
9,0.16885790172642762,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.16666666666666663
