,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.21786188579017265,0.21413700186737958,0.13702292176876996,0.015539933430478214,0.09133943928785826
0,0.21872509960159361,0.24917530739007743,0.21401001717246348,0.057196437211071816,0.11255873886917478
0,0.2297476759628154,0.23802843970150092,0.1901398004067163,0.047084198963699864,0.09145873189054743
0,0.21640106241699866,0.2108417016850065,0.1403378493021532,0.02656211889177229,0.08192108069188753
0,0.21852589641434264,0.19896403391215686,0.09849832475809406,0.010708587833897165,0.08749146552396636
0,0.2148074369189907,0.20924610545357755,0.13130818807155387,0.0152897407878555,0.09012910179650813
0,0.21148738379814078,0.1774095636400159,0.05439821182945559,0.03513949953474449,0.08459735115860756
0,0.21859229747675962,0.17941170151911615,0.05438995599248475,0.03609343038675328,0.07731885753271805
0,0.2093625498007968,0.2224975939382107,0.17093299214108015,0.04712875381786552,0.09141277605520848
0,0.21673306772908366,0.18455622760643453,0.0768802702335436,0.017640294953134572,0.08090337257057667
